game_id,game_category
95610908,GENRE_BOARDS
95712223,GENRE_ECONOMIC
96110606,GENRE_ECONOMIC
96368413,GENRE_COMMUNICATION
96939871,GENRE_BOARDS
96969564,GENRE_LOGIC
97291840,GENRE_SIMULATORS
97500128,GENRE_ROLE
97549946,GENRE_ECONOMIC
97748574,GENRE_THREE_IN_ROW
98058292,GENRE_LOGIC
98208666,GENRE_GAMBLING
98517878,GENRE_GAMBLING
98542879,GENRE_BOARDS
98817154,GENRE_LOGIC
99253671,GENRE_ROLE
99499242,GENRE_STRATEGY
99660978,GENRE_COMMUNICATION
99708703,GENRE_LOGIC
99836583,GENRE_COMMUNICATION
100345297,GENRE_ECONOMIC
100634568,GENRE_ROLE
100641859,GENRE_STRATEGY
100735676,GENRE_STRATEGY
100888971,GENRE_QUESTS
101045187,GENRE_HYPERCASUAL
101142983,GENRE_COMMUNICATION
101306835,GENRE_SIMULATORS
101464040,GENRE_3D_SHOOTERS
101597624,GENRE_3D_SHOOTERS
101687278,GENRE_BOARDS
101884687,GENRE_STRATEGY
102435974,GENRE_LOGIC
102624482,GENRE_STRATEGY
102670482,GENRE_STRATEGY
103168202,GENRE_LOGIC
103181542,GENRE_3D_SHOOTERS
103949673,GENRE_SIMULATORS
104046779,GENRE_THREE_IN_ROW
104271236,GENRE_LOGIC
104282023,GENRE_QUESTS
104866246,GENRE_SIMULATORS
105150595,GENRE_LOGIC
105302372,GENRE_RACING
105437842,GENRE_STRATEGY
105939012,GENRE_HYPERCASUAL
105966106,GENRE_QUESTS
105972845,GENRE_ROLE
106037820,GENRE_LOGIC
106233274,GENRE_ROLE
106687018,GENRE_ROLE
107188763,GENRE_BOARDS
107231083,GENRE_HYPERCASUAL
107302084,GENRE_BOARDS
107412323,GENRE_LOGIC
107412461,GENRE_LOGIC
107420258,GENRE_ECONOMIC
107420787,GENRE_VERBAL
107460784,GENRE_COMMUNICATION
107480909,GENRE_BOARDS
107685540,GENRE_3D_SHOOTERS
108084613,GENRE_ROLE
108123276,GENRE_QUESTS
108610738,GENRE_LOGIC
108611474,GENRE_BOARDS
108871650,GENRE_HYPERCASUAL
108960039,GENRE_3D_SHOOTERS
109012548,GENRE_LOGIC
109067058,GENRE_BOARDS
109177895,GENRE_LOGIC
109411920,GENRE_BOARDS
109583017,GENRE_ROLE
110170828,GENRE_SIMULATORS
110181684,GENRE_SIMULATORS
110195323,GENRE_ROLE
110489125,GENRE_THREE_IN_ROW
110903447,GENRE_LOGIC
111082663,GENRE_LOGIC
111177377,GENRE_LOGIC
111235843,GENRE_GAMBLING
111301255,GENRE_3D_SHOOTERS
111587743,GENRE_SIMULATORS
111999558,GENRE_ROLE
112024168,GENRE_SIMULATORS
112204396,GENRE_ECONOMIC
112281124,GENRE_SIMULATORS
112377632,GENRE_BOARDS
112466711,GENRE_BOARDS
113283096,GENRE_GAMBLING
113311639,GENRE_BOARDS
113394393,GENRE_3D_SHOOTERS
113408722,GENRE_3D_SHOOTERS
113434160,GENRE_SIMULATORS
113501113,GENRE_SIMULATORS
113643644,GENRE_BOARDS
113649647,GENRE_HYPERCASUAL
113780701,GENRE_ROLE
114055459,GENRE_ARCADES
